"Step","silvery-sweep-17 - train/rating_loss","silvery-sweep-17 - train/rating_loss__MIN","silvery-sweep-17 - train/rating_loss__MAX","fanciful-sweep-16 - train/rating_loss","fanciful-sweep-16 - train/rating_loss__MIN","fanciful-sweep-16 - train/rating_loss__MAX","charmed-sweep-15 - train/rating_loss","charmed-sweep-15 - train/rating_loss__MIN","charmed-sweep-15 - train/rating_loss__MAX","ruby-sweep-14 - train/rating_loss","ruby-sweep-14 - train/rating_loss__MIN","ruby-sweep-14 - train/rating_loss__MAX","dainty-sweep-13 - train/rating_loss","dainty-sweep-13 - train/rating_loss__MIN","dainty-sweep-13 - train/rating_loss__MAX","stellar-sweep-12 - train/rating_loss","stellar-sweep-12 - train/rating_loss__MIN","stellar-sweep-12 - train/rating_loss__MAX","super-sweep-11 - train/rating_loss","super-sweep-11 - train/rating_loss__MIN","super-sweep-11 - train/rating_loss__MAX","feasible-sweep-10 - train/rating_loss","feasible-sweep-10 - train/rating_loss__MIN","feasible-sweep-10 - train/rating_loss__MAX","misty-sweep-9 - train/rating_loss","misty-sweep-9 - train/rating_loss__MIN","misty-sweep-9 - train/rating_loss__MAX","gentle-sweep-8 - train/rating_loss","gentle-sweep-8 - train/rating_loss__MIN","gentle-sweep-8 - train/rating_loss__MAX"
"1","27.03305357694626","27.03305357694626","27.03305357694626","27.033048033714294","27.033048033714294","27.033048033714294","27.032755315303802","27.032755315303802","27.032755315303802","27.032754719257355","27.032754719257355","27.032754719257355","27.03275853395462","27.03275853395462","27.03275853395462","27.032448887825012","27.032448887825012","27.032448887825012","27.032448709011078","27.032448709011078","27.032448709011078","27.03245049715042","27.03245049715042","27.03245049715042","27.033355116844177","27.033355116844177","27.033355116844177","27.033351123332977","27.033351123332977","27.033351123332977"
"2","27.018100917339325","27.018100917339325","27.018100917339325","27.01924180984497","27.01924180984497","27.01924180984497","27.026876509189606","27.026876509189606","27.026876509189606","27.026899099349976","27.026899099349976","27.026899099349976","27.027151823043823","27.027151823043823","27.027151823043823","27.03197729587555","27.03197729587555","27.03197729587555","27.03197753429413","27.03197753429413","27.03197753429413","27.03198367357254","27.03198367357254","27.03198367357254","27.012312710285187","27.012312710285187","27.012312710285187","27.01244205236435","27.01244205236435","27.01244205236435"
"3","26.98588764667511","26.98588764667511","26.98588764667511","26.990528762340546","26.990528762340546","26.990528762340546","27.019902408123016","27.019902408123016","27.019902408123016","27.019988417625427","27.019988417625427","27.019988417625427","27.020935237407684","27.020935237407684","27.020935237407684","27.030713200569153","27.030713200569153","27.030713200569153","27.03071641921997","27.03071641921997","27.03071641921997","27.030753791332245","27.030753791332245","27.030753791332245","26.95324695110321","26.95324695110321","26.95324695110321","26.95378088951111","26.95378088951111","26.95378088951111"
"4","26.867457926273346","26.867457926273346","26.867457926273346","26.87821489572525","26.87821489572525","26.87821489572525","27.00967961549759","27.00967961549759","27.00967961549759","27.009871542453766","27.009871542453766","27.009871542453766","27.01199620962143","27.01199620962143","27.01199620962143","27.030081868171692","27.030081868171692","27.030081868171692","27.03008645772934","27.03008645772934","27.03008645772934","27.03014475107193","27.03014475107193","27.03014475107193","26.739623606204987","26.739623606204987","26.739623606204987","26.740596890449524","26.740596890449524","26.740596890449524"
"5","26.45416021347046","26.45416021347046","26.45416021347046","26.459795773029327","26.459795773029327","26.459795773029327","26.990288615226746","26.990288615226746","26.990288615226746","26.99066334962845","26.99066334962845","26.99066334962845","26.99495416879654","26.99495416879654","26.99495416879654","27.02838885784149","27.02838885784149","27.02838885784149","27.028400659561157","27.028400659561157","27.028400659561157","27.028528332710266","27.028528332710266","27.028528332710266","26.11168473958969","26.11168473958969","26.11168473958969","26.111501276493073","26.111501276493073","26.111501276493073"
"6","25.39377236366272","25.39377236366272","25.39377236366272","25.34238201379776","25.34238201379776","25.34238201379776","26.951390504837036","26.951390504837036","26.951390504837036","26.951995253562927","26.951995253562927","26.951995253562927","26.959495544433594","26.959495544433594","26.959495544433594","27.027108311653137","27.027108311653137","27.027108311653137","27.027126491069794","27.027126491069794","27.027126491069794","27.02732902765274","27.02732902765274","27.02732902765274","24.797568440437317","24.797568440437317","24.797568440437317","24.791839003562927","24.791839003562927","24.791839003562927"
"7","23.54203301668167","23.54203301668167","23.54203301668167","23.378790140151978","23.378790140151978","23.378790140151978","26.869490087032318","26.869490087032318","26.869490087032318","26.870259821414948","26.870259821414948","26.870259821414948","26.881494104862213","26.881494104862213","26.881494104862213","27.02665376663208","27.02665376663208","27.02665376663208","27.026676177978516","27.026676177978516","27.026676177978516","27.02692824602127","27.02692824602127","27.02692824602127","22.83118385076523","22.83118385076523","22.83118385076523","22.81714552640915","22.81714552640915","22.81714552640915"
"8","21.30162250995636","21.30162250995636","21.30162250995636","21.056801557540894","21.056801557540894","21.056801557540894","26.702704548835754","26.702704548835754","26.702704548835754","26.703253030776978","26.703253030776978","26.703253030776978","26.716044187545776","26.716044187545776","26.716044187545776","27.02506983280182","27.02506983280182","27.02506983280182","27.0251042842865","27.0251042842865","27.0251042842865","27.025477051734924","27.025477051734924","27.025477051734924","20.71018558740616","20.71018558740616","20.71018558740616","20.691435545682907","20.691435545682907","20.691435545682907"
"9","19.310081720352173","19.310081720352173","19.310081720352173","19.07267889380455","19.07267889380455","19.07267889380455","26.394989132881165","26.394989132881165","26.394989132881165","26.39434689283371","26.39434689283371","26.39434689283371","26.40024244785309","26.40024244785309","26.40024244785309","27.02250349521637","27.02250349521637","27.02250349521637","27.022555351257324","27.022555351257324","27.022555351257324","27.02311021089554","27.02311021089554","27.02311021089554","18.96505144238472","18.96505144238472","18.96505144238472","18.947580367326736","18.947580367326736","18.947580367326736"
"10","17.78984835743904","17.78984835743904","17.78984835743904","17.604504644870758","17.604504644870758","17.604504644870758","25.889956533908844","25.889956533908844","25.889956533908844","25.886436700820923","25.886436700820923","25.886436700820923","25.868282973766327","25.868282973766327","25.868282973766327","27.022402942180634","27.022402942180634","27.022402942180634","27.02246081829071","27.02246081829071","27.02246081829071","27.023084938526154","27.023084938526154","27.023084938526154","17.64611965417862","17.64611965417862","17.64611965417862","17.63253715634346","17.63253715634346","17.63253715634346"
