"Step","silvery-sweep-17 - train/semantic_loss","silvery-sweep-17 - train/semantic_loss__MIN","silvery-sweep-17 - train/semantic_loss__MAX","fanciful-sweep-16 - train/semantic_loss","fanciful-sweep-16 - train/semantic_loss__MIN","fanciful-sweep-16 - train/semantic_loss__MAX","charmed-sweep-15 - train/semantic_loss","charmed-sweep-15 - train/semantic_loss__MIN","charmed-sweep-15 - train/semantic_loss__MAX","ruby-sweep-14 - train/semantic_loss","ruby-sweep-14 - train/semantic_loss__MIN","ruby-sweep-14 - train/semantic_loss__MAX","dainty-sweep-13 - train/semantic_loss","dainty-sweep-13 - train/semantic_loss__MIN","dainty-sweep-13 - train/semantic_loss__MAX","stellar-sweep-12 - train/semantic_loss","stellar-sweep-12 - train/semantic_loss__MIN","stellar-sweep-12 - train/semantic_loss__MAX","super-sweep-11 - train/semantic_loss","super-sweep-11 - train/semantic_loss__MIN","super-sweep-11 - train/semantic_loss__MAX","feasible-sweep-10 - train/semantic_loss","feasible-sweep-10 - train/semantic_loss__MIN","feasible-sweep-10 - train/semantic_loss__MAX","misty-sweep-9 - train/semantic_loss","misty-sweep-9 - train/semantic_loss__MIN","misty-sweep-9 - train/semantic_loss__MAX","gentle-sweep-8 - train/semantic_loss","gentle-sweep-8 - train/semantic_loss__MIN","gentle-sweep-8 - train/semantic_loss__MAX"
"1","0.03858507610857487","0.03858507610857487","0.03858507610857487","0.3850939404219389","0.3850939404219389","0.3850939404219389","0.0038549822056666017","0.0038549822056666017","0.0038549822056666017","0.038546006893739104","0.038546006893739104","0.038546006893739104","0.3850784944370389","0.3850784944370389","0.3850784944370389","0.0038536333886440843","0.0038536333886440843","0.0038536333886440843","0.03853556583635509","0.03853556583635509","0.03853556583635509","0.3852792512625456","0.3852792512625456","0.3852792512625456","0.0038587615053984337","0.0038587615053984337","0.0038587615053984337","0.038580194930545986","0.038580194930545986","0.038580194930545986"
"2","0.038689894368872046","0.038689894368872046","0.038689894368872046","0.3845860669389367","0.3845860669389367","0.3845860669389367","0.0038579526080866344","0.0038579526080866344","0.0038579526080866344","0.03856781555805355","0.03856781555805355","0.03856781555805355","0.3845051759853959","0.3845051759853959","0.3845051759853959","0.003853676993458066","0.003853676993458066","0.003853676993458066","0.038534406339749694","0.038534406339749694","0.038534406339749694","0.38510888535529375","0.38510888535529375","0.38510888535529375","0.0038714295587851666","0.0038714295587851666","0.0038714295587851666","0.03869165654759854","0.03869165654759854","0.03869165654759854"
"3","0.03891730238683522","0.03891730238683522","0.03891730238683522","0.38535601925104856","0.38535601925104856","0.38535601925104856","0.0038629509654128924","0.0038629509654128924","0.0038629509654128924","0.03860999585594982","0.03860999585594982","0.03860999585594982","0.3841371377930045","0.3841371377930045","0.3841371377930045","0.0038538083754247054","0.0038538083754247054","0.0038538083754247054","0.03853412752505392","0.03853412752505392","0.03853412752505392","0.384947357699275","0.384947357699275","0.384947357699275","0.0039042615171638317","0.0039042615171638317","0.0039042615171638317","0.0390063792001456","0.0390063792001456","0.0390063792001456"
"4","0.039491616655141115","0.039491616655141115","0.039491616655141115","0.3899882761761546","0.3899882761761546","0.3899882761761546","0.0038710882727173157","0.0038710882727173157","0.0038710882727173157","0.03868370002601296","0.03868370002601296","0.03868370002601296","0.3840851495042443","0.3840851495042443","0.3840851495042443","0.003854043869068846","0.003854043869068846","0.003854043869068846","0.03853489947505295","0.03853489947505295","0.03853489947505295","0.38479622174054384","0.38479622174054384","0.38479622174054384","0.003989143137005158","0.003989143137005158","0.003989143137005158","0.03984810318797827","0.03984810318797827","0.03984810318797827"
"5","0.04086669359821826","0.04086669359821826","0.04086669359821826","0.4039915995672345","0.4039915995672345","0.4039915995672345","0.003883924742694944","0.003883924742694944","0.003883924742694944","0.038804725743830204","0.038804725743830204","0.038804725743830204","0.3845266168937087","0.3845266168937087","0.3845266168937087","0.003854529444652144","0.003854529444652144","0.003854529444652144","0.03853816376067698","0.03853816376067698","0.03853816376067698","0.3846697583794594","0.3846697583794594","0.3846697583794594","0.004169041327259038","0.004169041327259038","0.004169041327259038","0.041652674321085215","0.041652674321085215","0.041652674321085215"
"6","0.04339348676148802","0.04339348676148802","0.04339348676148802","0.43115616496652365","0.43115616496652365","0.43115616496652365","0.003905442004906945","0.003905442004906945","0.003905442004906945","0.03901352465618402","0.03901352465618402","0.03901352465618402","0.3859209679067135","0.3859209679067135","0.3859209679067135","0.003854867973132059","0.003854867973132059","0.003854867973132059","0.03853996389079839","0.03853996389079839","0.03853996389079839","0.3845285475254059","0.3845285475254059","0.3845285475254059","0.004450184562301729","0.004450184562301729","0.004450184562301729","0.04448008199688047","0.04448008199688047","0.04448008199688047"
"7","0.046831531915813684","0.046831531915813684","0.046831531915813684","0.4679431412369013","0.4679431412369013","0.4679431412369013","0.003942111819924321","0.003942111819924321","0.003942111819924321","0.03937614616006613","0.03937614616006613","0.03937614616006613","0.3890713397413492","0.3890713397413492","0.3890713397413492","0.0038553035410586745","0.0038553035410586745","0.0038553035410586745","0.03854274330660701","0.03854274330660701","0.03854274330660701","0.3843975942581892","0.3843975942581892","0.3843975942581892","0.004795979104528669","0.004795979104528669","0.004795979104528669","0.04795547656249255","0.04795547656249255","0.04795547656249255"
"8","0.05053131002932787","0.05053131002932787","0.05053131002932787","0.5066456543281674","0.5066456543281674","0.5066456543281674","0.004002959001809359","0.004002959001809359","0.004002959001809359","0.03998466779012233","0.03998466779012233","0.03998466779012233","0.3951011225581169","0.3951011225581169","0.3951011225581169","0.003855789254885167","0.003855789254885167","0.003855789254885167","0.0385460217949003","0.0385460217949003","0.0385460217949003","0.3842717530205846","0.3842717530205846","0.3842717530205846","0.005147309580934234","0.005147309580934234","0.005147309580934234","0.05148004461079836","0.05148004461079836","0.05148004461079836"
"9","0.05393623898271471","0.05393623898271471","0.05393623898271471","0.5412593772634864","0.5412593772634864","0.5412593772634864","0.004096243188541848","0.004096243188541848","0.004096243188541848","0.04092262696940452","0.04092262696940452","0.04092262696940452","0.4049632987007499","0.4049632987007499","0.4049632987007499","0.0038568073578062467","0.0038568073578062467","0.0038568073578062467","0.0385546205798164","0.0385546205798164","0.0385546205798164","0.38419740181416273","0.38419740181416273","0.38419740181416273","0.005459174790303223","0.005459174790303223","0.005459174790303223","0.054601855808869004","0.054601855808869004","0.054601855808869004"
"10","0.056722900015302","0.056722900015302","0.056722900015302","0.5688574127852917","0.5688574127852917","0.5688574127852917","0.004223085656121839","0.004223085656121839","0.004223085656121839","0.04220050177536905","0.04220050177536905","0.04220050177536905","0.418696123175323","0.418696123175323","0.418696123175323","0.003857604220684152","0.003857604220684152","0.003857604220684152","0.03856102586723864","0.03856102586723864","0.03856102586723864","0.38410323578864336","0.38410323578864336","0.38410323578864336","0.005710293597076088","0.005710293597076088","0.005710293597076088","0.057110687368549407","0.057110687368549407","0.057110687368549407"
